episode,reward,steps,success
0,23.976869770712078,500,0
1,-42.37792447696179,123,0
2,-42.2065935344795,113,0
3,-40.532211683157755,173,0
4,-40.7322589689024,147,0
5,-42.610115922019276,104,0
6,-42.81789470573368,120,0
7,-42.58121990173022,111,0
8,24.45088302914843,500,0
9,-45.27523606464746,45,0
10,-44.406458149839786,84,0
11,-41.944164934370725,134,0
12,-46.70778873619345,29,0
13,-37.67357169994051,221,0
14,-41.90169465783784,132,0
15,-46.940286302824795,25,0
16,-43.85573795794558,79,0
17,25.498871386950462,500,0
18,-26.441056345661735,471,0
19,-31.897484673593766,355,0
20,-39.496333216699014,166,0
21,23.037682689001542,500,0
22,22.518824725145326,500,0
23,-39.07813988492026,170,0
24,22.854881445225683,500,0
25,-26.87403374512462,493,0
